Organization,Followed On
Dragonfly Aerospace,Mon May 18 18:06:54 UTC 2026
AIRBORNE DRONES (PTY) LTD,Mon May 18 18:06:53 UTC 2026
NewSpace Systems,Mon May 18 18:06:51 UTC 2026
Nextech,Mon May 18 18:06:33 UTC 2026
Startup Networks,Sat May 16 19:47:15 UTC 2026
Innovate Durban,Fri May 15 20:37:29 UTC 2026
innobiz DUT Centre for Entrepreneurship and Innovation,Wed May 06 16:03:50 UTC 2026
Agritistics,Wed May 06 16:01:00 UTC 2026
Cavalier Group,Wed May 06 16:00:55 UTC 2026
Durban University of Technology,Tue May 05 07:06:15 UTC 2026
Darkies in Tech,Wed Apr 29 07:30:27 UTC 2026
Veldtschoen Waste Management Solutions,Tue Apr 28 19:05:11 UTC 2026
The Lekker Network,Mon Apr 27 10:23:25 UTC 2026
Africa Drone Kings,Thu Apr 23 05:27:48 UTC 2026
CORTAC Security,Thu Apr 23 05:27:45 UTC 2026
sproot,Sun Apr 19 08:02:10 UTC 2026
Ubuntu Hemp | Climate Tech & Sustainable Materials Research Platform | OSF-Registered Research,Sun Apr 12 11:30:11 UTC 2026
MassChallenge,Sun Apr 12 06:52:47 UTC 2026
Agribusiness Development Agency,Sat Apr 04 17:24:19 UTC 2026
Entrepreneurs Catalyst Hub,Sat Apr 04 17:24:18 UTC 2026
University of the Free State,Wed Apr 01 16:44:26 UTC 2026
Kgodiso Development Fund,Fri Mar 27 19:50:32 UTC 2026
SDG7 Youth Constituency,Fri Mar 27 19:47:00 UTC 2026
Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Fri Mar 27 11:14:22 UTC 2026
GIZ African Union,Fri Mar 27 11:14:19 UTC 2026
GreenCape,Fri Mar 27 11:14:17 UTC 2026
GIZ Climate Cluster South Africa,Fri Mar 27 11:14:11 UTC 2026
HORTGRO,Fri Mar 27 11:14:09 UTC 2026
Allan Gray Makers,Fri Mar 27 11:14:03 UTC 2026
Missing Link,Fri Mar 27 07:49:17 UTC 2026
National Empowerment Fund,Thu Mar 26 16:12:11 UTC 2026
Technology Innovation Agency,Thu Mar 26 16:12:08 UTC 2026
"GIZ South Africa, Lesotho & eSwatini",Thu Mar 26 16:12:04 UTC 2026
Ventures 54,Mon Mar 23 19:26:25 UTC 2026
Digital for Development (D4D) Hub,Mon Mar 23 13:49:09 UTC 2026
AgriVentures,Sun Mar 22 18:42:12 UTC 2026
The Match Exchange,Sun Mar 22 07:02:13 UTC 2026
Challenger Accelerator,Thu Mar 05 18:40:12 UTC 2026
De Beers Group,Tue Mar 03 21:09:59 UTC 2026
SAB Foundation,Sun Mar 01 18:57:16 UTC 2026
Tech 4 Good AFRICA,Sat Feb 28 11:04:21 UTC 2026
Lilly Loompa Upcycled Gifting,Tue Feb 24 16:20:03 UTC 2026
Mindofafox,Sun Feb 22 21:56:21 UTC 2026
Youth for change Network,Sat Feb 21 18:31:17 UTC 2026
Aetos Dairy,Sat Feb 21 18:30:17 UTC 2026
Triga Ventures,Wed Feb 18 00:32:16 UTC 2026
Hollywoodbets,Sat Feb 14 16:12:30 UTC 2026
Social Employment Fund,Sat Feb 14 07:24:40 UTC 2026
