Challenge Date,IP Address,User Agent,Country,Challenge Type
Thu Mar 06 10:10:42 UTC 2025,2c0f:f528:49:e947:8883:4d15:2c13:d67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",South Africa,EMAIL_PIN_CHALLENGE
Thu Mar 06 10:10:42 UTC 2025,2c0f:f528:49:e947:8883:4d15:2c13:d67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",South Africa,EMAIL_PIN_CHALLENGE
Thu Mar 06 10:11:05 UTC 2025,2c0f:f528:49:e947:8883:4d15:2c13:d67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",South Africa,EMAIL_PIN_CHALLENGE
Fri Mar 07 12:33:25 UTC 2025,41.144.102.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",South Africa,EMAIL_PIN_CHALLENGE
Fri Mar 07 12:33:25 UTC 2025,41.144.102.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",South Africa,EMAIL_PIN_CHALLENGE
Fri Mar 07 12:34:57 UTC 2025,41.144.38.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",South Africa,ID_VERIFICATION_CHALLENGE
Fri Mar 07 12:34:57 UTC 2025,41.144.38.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",South Africa,ID_VERIFICATION_CHALLENGE
Fri Mar 07 12:35:16 UTC 2025,41.144.38.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",South Africa,EMAIL_PIN_CHALLENGE
Fri Mar 07 12:35:16 UTC 2025,41.144.38.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",South Africa,EMAIL_PIN_CHALLENGE
Mon Mar 10 07:26:45 UTC 2025,41.144.33.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",South Africa,EMAIL_PIN_CHALLENGE
